Article,Topic,Legitimacy
لا صحة لخبر وفاة كاظم الساهر,موسيقى,زائف
سنفارا لم يتعرض لطلق ناري في ليبيا والصورة من فيديو كليب,موسيقى,زائف
لا صحة لخبر وفاة الفنان اللبناني وائل كفوري,موسيقى,زائف
لا صحة لخبر وفاة كاظم الساهر,موسيقى,زائف
سنفارا لم يتعرض لطلق ناري في ليبيا والصورة من فيديو كليب,موسيقى,زائف
لا صحة لخبر وفاة الفنان اللبناني وائل كفوري,موسيقى,زائف
لا صحة لخبر وفاة الفنان محمد عبده,موسيقى,زائف
لا صحة لخبر وفاة الفنان صباح فخري,موسيقى,زائف
لا صحة لخبر وفاة الشاب خالد في الإمارات,موسيقى,زائف
لا صحة لخبر وفاة كاظم الساهر,موسيقى,زائف
سنفارا لم يتعرض لطلق ناري في ليبيا والصورة من فيديو كليب,موسيقى,زائف
لا صحة لخبر وفاة الفنان اللبناني وائل كفوري,موسيقى,زائف
لا صحة لخبر وفاة الفنان محمد عبده,موسيقى,زائف
لا صحة لخبر وفاة الفنان صباح فخري,موسيقى,زائف
لا صحة لخبر وفاة الشاب خالد في الإمارات,موسيقى,زائف
لم يعزف أندريه ريو موسيقى فيلم الرسالة,موسيقى,زائف
لم يعزف ياني موسيقى رأفت الهجَّان,موسيقى,زائف
وفاة الفنانة فيروز.. خبر زائف,موسيقى,زائف
لا صحة لخبر وفاة كاظم الساهر,موسيقى,زائف
سنفارا لم يتعرض لطلق ناري في ليبيا والصورة من فيديو كليب,موسيقى,زائف
لا صحة لخبر وفاة الفنان اللبناني وائل كفوري,موسيقى,زائف
لا صحة لخبر وفاة الفنان محمد عبده,موسيقى,زائف
لا صحة لخبر وفاة الفنان صباح فخري,موسيقى,زائف
لا صحة لخبر وفاة الشاب خالد في الإمارات,موسيقى,زائف
لم يعزف أندريه ريو موسيقى فيلم الرسالة,موسيقى,زائف
لم يعزف ياني موسيقى رأفت الهجَّان,موسيقى,زائف
وفاة الفنانة فيروز.. خبر زائف,موسيقى,زائف
مايكل جاكسون يغني للحج.. حقيقة الفيديو,موسيقى,زائف
دورة في الرقص الشرقي لفيفي عبده في السعودية.. شائعة قديمة تعود من جديد,موسيقى,زائف
