Article,Topic,Legitimacy
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
صورة انحناء الرئيس الجزائري عبد المجيد تبون أمام العلم الفرنسي مفبركة,أخبار,زائف
الصوت مركب وليس لهتافات مؤيدة لحمزة بن الحسين في مظاهرات الأردن الداعمة لغزة,أخبار,زائف
الصورة مولّدة بالذكاء الاصطناعي وليست لظهور محمد بن سلمان في حفل راقص,أخبار,زائف
الصورة مفبركة وليست لمنشورات إسرائيلية تطالب بإخلاء رفح من السكان,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
صورة انحناء الرئيس الجزائري عبد المجيد تبون أمام العلم الفرنسي مفبركة,أخبار,زائف
الصوت مركب وليس لهتافات مؤيدة لحمزة بن الحسين في مظاهرات الأردن الداعمة لغزة,أخبار,زائف
الصورة مولّدة بالذكاء الاصطناعي وليست لظهور محمد بن سلمان في حفل راقص,أخبار,زائف
الصورة مفبركة وليست لمنشورات إسرائيلية تطالب بإخلاء رفح من السكان,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
صورة انحناء الرئيس الجزائري عبد المجيد تبون أمام العلم الفرنسي مفبركة,أخبار,زائف
الصوت مركب وليس لهتافات مؤيدة لحمزة بن الحسين في مظاهرات الأردن الداعمة لغزة,أخبار,زائف
الصورة مولّدة بالذكاء الاصطناعي وليست لظهور محمد بن سلمان في حفل راقص,أخبار,زائف
الصورة مفبركة وليست لمنشورات إسرائيلية تطالب بإخلاء رفح من السكان,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
صورة انحناء الرئيس الجزائري عبد المجيد تبون أمام العلم الفرنسي مفبركة,أخبار,زائف
الصوت مركب وليس لهتافات مؤيدة لحمزة بن الحسين في مظاهرات الأردن الداعمة لغزة,أخبار,زائف
الصورة مولّدة بالذكاء الاصطناعي وليست لظهور محمد بن سلمان في حفل راقص,أخبار,زائف
الصورة مفبركة وليست لمنشورات إسرائيلية تطالب بإخلاء رفح من السكان,أخبار,زائف
الفيديو مفبرك وليس لتحرش الرئيس الأميركي جو بايدن بطفلة,أخبار,زائف
الصورة مفبركة وليست لكسوف الشمس في البرتغال حديثًا,أخبار,زائف
الفيديو قديم وليس لمظاهرة ضد آل سعود في جامعة نجران السعودية,أخبار,زائف
صورة انحناء الرئيس الجزائري عبد المجيد تبون أمام العلم الفرنسي مفبركة,أخبار,زائف
الصوت مركب وليس لهتافات مؤيدة لحمزة بن الحسين في مظاهرات الأردن الداعمة لغزة,أخبار,زائف
الصورة مولّدة بالذكاء الاصطناعي وليست لظهور محمد بن سلمان في حفل راقص,أخبار,زائف
