Article,Topic,Legitimacy
ديانا حداد لم تعتزل الغناء بعد اعتناقها الإسلام,ثقافة وفن,زائف
الفيديو تصميم فني وليس لأخطبوط تسلّل إلى موقف سيارات في قطر,ثقافة وفن,زائف
الفيديو معدّل رقميًّا وليس لظاهرة غريبة تبدو فيها النيران تخرج من البحر,ثقافة وفن,زائف
ديانا حداد لم تعتزل الغناء بعد اعتناقها الإسلام,ثقافة وفن,زائف
الفيديو تصميم فني وليس لأخطبوط تسلّل إلى موقف سيارات في قطر,ثقافة وفن,زائف
الفيديو معدّل رقميًّا وليس لظاهرة غريبة تبدو فيها النيران تخرج من البحر,ثقافة وفن,زائف
الحوار المنسوب للفنانة إنعام سالوسة مع منى الشاذلي مُختلق,ثقافة وفن,زائف
صور مولدة بالذكاء الاصطناعي لجزيرة سانتوريني اليونانية وليست حقيقية,ثقافة وفن,زائف
فيديو السحابة التي لها شكل تنين يأكل الشمس مُعدل وليس حقيقيًّا,ثقافة وفن,زائف
نجوى كرم ليست أول فنانة عربية تسجّل رقمًا قياسيًّا في غينيس,ثقافة وفن,زائف
فيلم أوبنهايمر لم يحصل على تقييم 101 على موقع روتن توميتوز,ثقافة وفن,زائف
دولبي لم تخصص صالاتها لعرض فيلم باربي فقط,ثقافة وفن,زائف
نيتفلكس لم تطلق مسابقة تصميم فاز بها شاب سوري,ثقافة وفن,زائف
ديانا حداد لم تعتزل الغناء بعد اعتناقها الإسلام,ثقافة وفن,زائف
الفيديو تصميم فني وليس لأخطبوط تسلّل إلى موقف سيارات في قطر,ثقافة وفن,زائف
الفيديو معدّل رقميًّا وليس لظاهرة غريبة تبدو فيها النيران تخرج من البحر,ثقافة وفن,زائف
الحوار المنسوب للفنانة إنعام سالوسة مع منى الشاذلي مُختلق,ثقافة وفن,زائف
صور مولدة بالذكاء الاصطناعي لجزيرة سانتوريني اليونانية وليست حقيقية,ثقافة وفن,زائف
فيديو السحابة التي لها شكل تنين يأكل الشمس مُعدل وليس حقيقيًّا,ثقافة وفن,زائف
نجوى كرم ليست أول فنانة عربية تسجّل رقمًا قياسيًّا في غينيس,ثقافة وفن,زائف
فيلم أوبنهايمر لم يحصل على تقييم 101 على موقع روتن توميتوز,ثقافة وفن,زائف
دولبي لم تخصص صالاتها لعرض فيلم باربي فقط,ثقافة وفن,زائف
نيتفلكس لم تطلق مسابقة تصميم فاز بها شاب سوري,ثقافة وفن,زائف
الصور مولدة بالذكاء الاصطناعي وليست لزواج إيلون ماسك من روبوت,ثقافة وفن,زائف
نتفلكس لم تغير تصنيف مسلسل الملكة كليوباترا من وثائقي إلى خيالي,ثقافة وفن,زائف
الفيديو معدّل رقميًا وليس لأجسام غريبة تهبط على القمر,ثقافة وفن,زائف
ديانا حداد لم تعتزل الغناء بعد اعتناقها الإسلام,ثقافة وفن,زائف
الفيديو تصميم فني وليس لأخطبوط تسلّل إلى موقف سيارات في قطر,ثقافة وفن,زائف
الفيديو معدّل رقميًّا وليس لظاهرة غريبة تبدو فيها النيران تخرج من البحر,ثقافة وفن,زائف
الحوار المنسوب للفنانة إنعام سالوسة مع منى الشاذلي مُختلق,ثقافة وفن,زائف
صور مولدة بالذكاء الاصطناعي لجزيرة سانتوريني اليونانية وليست حقيقية,ثقافة وفن,زائف
فيديو السحابة التي لها شكل تنين يأكل الشمس مُعدل وليس حقيقيًّا,ثقافة وفن,زائف
نجوى كرم ليست أول فنانة عربية تسجّل رقمًا قياسيًّا في غينيس,ثقافة وفن,زائف
فيلم أوبنهايمر لم يحصل على تقييم 101 على موقع روتن توميتوز,ثقافة وفن,زائف
دولبي لم تخصص صالاتها لعرض فيلم باربي فقط,ثقافة وفن,زائف
نيتفلكس لم تطلق مسابقة تصميم فاز بها شاب سوري,ثقافة وفن,زائف
الصور مولدة بالذكاء الاصطناعي وليست لزواج إيلون ماسك من روبوت,ثقافة وفن,زائف
نتفلكس لم تغير تصنيف مسلسل الملكة كليوباترا من وثائقي إلى خيالي,ثقافة وفن,زائف
الفيديو معدّل رقميًا وليس لأجسام غريبة تهبط على القمر,ثقافة وفن,زائف
لا صحة لأنباء وفاة الممثل المصري صلاح السعدني,ثقافة وفن,زائف
الصورة معدّلة وليست لغيوم تشكّلت في سماء إسطنبول,ثقافة وفن,زائف
ديانا حداد لم تعتزل الغناء بعد اعتناقها الإسلام,ثقافة وفن,زائف
الفيديو تصميم فني وليس لأخطبوط تسلّل إلى موقف سيارات في قطر,ثقافة وفن,زائف
الفيديو معدّل رقميًّا وليس لظاهرة غريبة تبدو فيها النيران تخرج من البحر,ثقافة وفن,زائف
الحوار المنسوب للفنانة إنعام سالوسة مع منى الشاذلي مُختلق,ثقافة وفن,زائف
صور مولدة بالذكاء الاصطناعي لجزيرة سانتوريني اليونانية وليست حقيقية,ثقافة وفن,زائف
فيديو السحابة التي لها شكل تنين يأكل الشمس مُعدل وليس حقيقيًّا,ثقافة وفن,زائف
نجوى كرم ليست أول فنانة عربية تسجّل رقمًا قياسيًّا في غينيس,ثقافة وفن,زائف
فيلم أوبنهايمر لم يحصل على تقييم 101 على موقع روتن توميتوز,ثقافة وفن,زائف
