Article,Topic,Legitimacy
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
