Article,Topic,Legitimacy
الفيديو معدل وبيلينغهام غطى الطفل بسترته وليس العكس,رياضة,زائف
اللاعب البرازيلي داني ألفيس لم ينتحر داخل سجنه في إسبانيا,رياضة,زائف
لا صحة لخبر وفاة المدرب البرازيلي جورفان فييرا,رياضة,زائف
صحيفة ماركا لم تصف فوز قطر على الأردن في نهائي كأس آسيا بالمسرحية,رياضة,زائف
الفيفا لم يعلن إقالة رئيس الاتحاد الآسيوي لكرة القدم من منصبه,رياضة,زائف
الفيديو معدل وبيلينغهام غطى الطفل بسترته وليس العكس,رياضة,زائف
اللاعب البرازيلي داني ألفيس لم ينتحر داخل سجنه في إسبانيا,رياضة,زائف
لا صحة لخبر وفاة المدرب البرازيلي جورفان فييرا,رياضة,زائف
صحيفة ماركا لم تصف فوز قطر على الأردن في نهائي كأس آسيا بالمسرحية,رياضة,زائف
الفيفا لم يعلن إقالة رئيس الاتحاد الآسيوي لكرة القدم من منصبه,رياضة,زائف
صوت الجماهير التي تهتف لرونالدو في مباراة الهلال السعودي وإنتر ميامي مركب,رياضة,زائف
الاتحاد الدولي لكرة القدم لم يقرر طرد الحكم الإيراني فغاني من المباريات الآسيوية والدولية,رياضة,زائف
المنشور زائف وليس لتعليق اللاعب العراقي أيمن حسين على طرده من مباراة الأردن,رياضة,زائف
الفيديو معدل وبيلينغهام غطى الطفل بسترته وليس العكس,رياضة,زائف
اللاعب البرازيلي داني ألفيس لم ينتحر داخل سجنه في إسبانيا,رياضة,زائف
لا صحة لخبر وفاة المدرب البرازيلي جورفان فييرا,رياضة,زائف
صحيفة ماركا لم تصف فوز قطر على الأردن في نهائي كأس آسيا بالمسرحية,رياضة,زائف
الفيفا لم يعلن إقالة رئيس الاتحاد الآسيوي لكرة القدم من منصبه,رياضة,زائف
صوت الجماهير التي تهتف لرونالدو في مباراة الهلال السعودي وإنتر ميامي مركب,رياضة,زائف
الاتحاد الدولي لكرة القدم لم يقرر طرد الحكم الإيراني فغاني من المباريات الآسيوية والدولية,رياضة,زائف
المنشور زائف وليس لتعليق اللاعب العراقي أيمن حسين على طرده من مباراة الأردن,رياضة,زائف
علي معلول لم يعلن اعتزال اللعب دوليًا مع تونس بعد الخروج من أمم أفريقيا,رياضة,زائف
تعليق جمال الغندور قديم ولا علاقة له بهدف موريتانيا ضد الجزائر,رياضة,زائف
مدرب أوزبكستان لم يُصرّح بأنه يفضل مواجهة العراق في نصف نهائي كأس آسيا,رياضة,زائف
الفيديو معدل وبيلينغهام غطى الطفل بسترته وليس العكس,رياضة,زائف
اللاعب البرازيلي داني ألفيس لم ينتحر داخل سجنه في إسبانيا,رياضة,زائف
لا صحة لخبر وفاة المدرب البرازيلي جورفان فييرا,رياضة,زائف
صحيفة ماركا لم تصف فوز قطر على الأردن في نهائي كأس آسيا بالمسرحية,رياضة,زائف
الفيفا لم يعلن إقالة رئيس الاتحاد الآسيوي لكرة القدم من منصبه,رياضة,زائف
صوت الجماهير التي تهتف لرونالدو في مباراة الهلال السعودي وإنتر ميامي مركب,رياضة,زائف
الاتحاد الدولي لكرة القدم لم يقرر طرد الحكم الإيراني فغاني من المباريات الآسيوية والدولية,رياضة,زائف
المنشور زائف وليس لتعليق اللاعب العراقي أيمن حسين على طرده من مباراة الأردن,رياضة,زائف
علي معلول لم يعلن اعتزال اللعب دوليًا مع تونس بعد الخروج من أمم أفريقيا,رياضة,زائف
تعليق جمال الغندور قديم ولا علاقة له بهدف موريتانيا ضد الجزائر,رياضة,زائف
مدرب أوزبكستان لم يُصرّح بأنه يفضل مواجهة العراق في نصف نهائي كأس آسيا,رياضة,زائف
الترجمة مفبركة وليست من تسريب يُشيد فيه لاعب نادي فلومينينسي بالأهلي المصري,رياضة,زائف
فرنسا لم تصدر قرارًا بسحب الجنسية الفرنسية من كريم بنزيما,رياضة,زائف
الفيديو معدل وبيلينغهام غطى الطفل بسترته وليس العكس,رياضة,زائف
اللاعب البرازيلي داني ألفيس لم ينتحر داخل سجنه في إسبانيا,رياضة,زائف
لا صحة لخبر وفاة المدرب البرازيلي جورفان فييرا,رياضة,زائف
صحيفة ماركا لم تصف فوز قطر على الأردن في نهائي كأس آسيا بالمسرحية,رياضة,زائف
الفيفا لم يعلن إقالة رئيس الاتحاد الآسيوي لكرة القدم من منصبه,رياضة,زائف
صوت الجماهير التي تهتف لرونالدو في مباراة الهلال السعودي وإنتر ميامي مركب,رياضة,زائف
الاتحاد الدولي لكرة القدم لم يقرر طرد الحكم الإيراني فغاني من المباريات الآسيوية والدولية,رياضة,زائف
المنشور زائف وليس لتعليق اللاعب العراقي أيمن حسين على طرده من مباراة الأردن,رياضة,زائف
علي معلول لم يعلن اعتزال اللعب دوليًا مع تونس بعد الخروج من أمم أفريقيا,رياضة,زائف
تعليق جمال الغندور قديم ولا علاقة له بهدف موريتانيا ضد الجزائر,رياضة,زائف
مدرب أوزبكستان لم يُصرّح بأنه يفضل مواجهة العراق في نصف نهائي كأس آسيا,رياضة,زائف
الترجمة مفبركة وليست من تسريب يُشيد فيه لاعب نادي فلومينينسي بالأهلي المصري,رياضة,زائف
فرنسا لم تصدر قرارًا بسحب الجنسية الفرنسية من كريم بنزيما,رياضة,زائف
أليو سيسيه لم يُصرّح بأن الجزائر هي الأحق بتنظيم كأس أمم أفريقيا,رياضة,زائف
الفيفا لم يعلن إيقاف اللاعب يزن العرب ثلاثة مواسم بسبب اعتدائه على الحكم في ماليزيا,رياضة,زائف
الصورة مفبركة ولم يحمل رونالدو رسمة الإمام علي خلال وجوده في إيران,رياضة,زائف
الفيديو معدل وبيلينغهام غطى الطفل بسترته وليس العكس,رياضة,زائف
اللاعب البرازيلي داني ألفيس لم ينتحر داخل سجنه في إسبانيا,رياضة,زائف
لا صحة لخبر وفاة المدرب البرازيلي جورفان فييرا,رياضة,زائف
صحيفة ماركا لم تصف فوز قطر على الأردن في نهائي كأس آسيا بالمسرحية,رياضة,زائف
الفيفا لم يعلن إقالة رئيس الاتحاد الآسيوي لكرة القدم من منصبه,رياضة,زائف
صوت الجماهير التي تهتف لرونالدو في مباراة الهلال السعودي وإنتر ميامي مركب,رياضة,زائف
الاتحاد الدولي لكرة القدم لم يقرر طرد الحكم الإيراني فغاني من المباريات الآسيوية والدولية,رياضة,زائف
المنشور زائف وليس لتعليق اللاعب العراقي أيمن حسين على طرده من مباراة الأردن,رياضة,زائف
علي معلول لم يعلن اعتزال اللعب دوليًا مع تونس بعد الخروج من أمم أفريقيا,رياضة,زائف
تعليق جمال الغندور قديم ولا علاقة له بهدف موريتانيا ضد الجزائر,رياضة,زائف
مدرب أوزبكستان لم يُصرّح بأنه يفضل مواجهة العراق في نصف نهائي كأس آسيا,رياضة,زائف
الترجمة مفبركة وليست من تسريب يُشيد فيه لاعب نادي فلومينينسي بالأهلي المصري,رياضة,زائف
فرنسا لم تصدر قرارًا بسحب الجنسية الفرنسية من كريم بنزيما,رياضة,زائف
