Article,Topic,Legitimacy
الحساب مزيف ولم يتحدث ميل غيبسون عن نهاية إسرائيل,ترفيه,زائف
الصور ليست لشاحنات تنشر سُحُبًا في شوارع أوروبا لخفض درجات الحرارة,ترفيه,زائف
لا صحة لخبر إلغاء عرض فيلم باربي في السعودية,ترفيه,زائف
الفيديو مركّب وليس لنيزك يضرب البحر في ألمانيا,ترفيه,زائف
خبر أنّ ملكة جمال هولندا المتحولة جنسيًا من أصل فلسطيني مفبرك,ترفيه,زائف
الصورة مولدة بالذكاء الاصطناعي وليست لجدّة محنطة على هيئة طاولة,ترفيه,زائف
الحساب مزيف ولم يتحدث ميل غيبسون عن نهاية إسرائيل,ترفيه,زائف
الصور ليست لشاحنات تنشر سُحُبًا في شوارع أوروبا لخفض درجات الحرارة,ترفيه,زائف
لا صحة لخبر إلغاء عرض فيلم باربي في السعودية,ترفيه,زائف
الفيديو مركّب وليس لنيزك يضرب البحر في ألمانيا,ترفيه,زائف
خبر أنّ ملكة جمال هولندا المتحولة جنسيًا من أصل فلسطيني مفبرك,ترفيه,زائف
الصورة مولدة بالذكاء الاصطناعي وليست لجدّة محنطة على هيئة طاولة,ترفيه,زائف
صورة ابن عرس على ظهر نقار الخشب حقيقية,ترفيه,صحيح
صورة الجبل على شكل وجه غاضب في جزيرة سقطرى معدلة رقميًا,ترفيه,زائف
الفيديو لعمل فني وليس لتنّينٍ حقيقيٍّ في منغوليا,ترفيه,زائف
الفيديو مُعدل والسائق لا يقود السيارة بهذه السرعة الفائقة,ترفيه,زائف
الحساب مزيف ولم يتحدث ميل غيبسون عن نهاية إسرائيل,ترفيه,زائف
الصور ليست لشاحنات تنشر سُحُبًا في شوارع أوروبا لخفض درجات الحرارة,ترفيه,زائف
لا صحة لخبر إلغاء عرض فيلم باربي في السعودية,ترفيه,زائف
الفيديو مركّب وليس لنيزك يضرب البحر في ألمانيا,ترفيه,زائف
خبر أنّ ملكة جمال هولندا المتحولة جنسيًا من أصل فلسطيني مفبرك,ترفيه,زائف
الصورة مولدة بالذكاء الاصطناعي وليست لجدّة محنطة على هيئة طاولة,ترفيه,زائف
صورة ابن عرس على ظهر نقار الخشب حقيقية,ترفيه,صحيح
صورة الجبل على شكل وجه غاضب في جزيرة سقطرى معدلة رقميًا,ترفيه,زائف
الفيديو لعمل فني وليس لتنّينٍ حقيقيٍّ في منغوليا,ترفيه,زائف
الفيديو مُعدل والسائق لا يقود السيارة بهذه السرعة الفائقة,ترفيه,زائف
لم تُصدر قناة سبيستون بيانًا تعلن فيه إغلاقها,ترفيه,زائف
الصورة مفبركة وليست لسوريّ يدرس على منحدر جبل في منطقة القدموس,ترفيه,زائف
الصورة مفبركة وليست للممثل سمير صبري وعائلته,ترفيه,زائف
الحساب مزيف ولم يتحدث ميل غيبسون عن نهاية إسرائيل,ترفيه,زائف
الصور ليست لشاحنات تنشر سُحُبًا في شوارع أوروبا لخفض درجات الحرارة,ترفيه,زائف
لا صحة لخبر إلغاء عرض فيلم باربي في السعودية,ترفيه,زائف
الفيديو مركّب وليس لنيزك يضرب البحر في ألمانيا,ترفيه,زائف
خبر أنّ ملكة جمال هولندا المتحولة جنسيًا من أصل فلسطيني مفبرك,ترفيه,زائف
الصورة مولدة بالذكاء الاصطناعي وليست لجدّة محنطة على هيئة طاولة,ترفيه,زائف
صورة ابن عرس على ظهر نقار الخشب حقيقية,ترفيه,صحيح
صورة الجبل على شكل وجه غاضب في جزيرة سقطرى معدلة رقميًا,ترفيه,زائف
الفيديو لعمل فني وليس لتنّينٍ حقيقيٍّ في منغوليا,ترفيه,زائف
الفيديو مُعدل والسائق لا يقود السيارة بهذه السرعة الفائقة,ترفيه,زائف
لم تُصدر قناة سبيستون بيانًا تعلن فيه إغلاقها,ترفيه,زائف
الصورة مفبركة وليست لسوريّ يدرس على منحدر جبل في منطقة القدموس,ترفيه,زائف
الصورة مفبركة وليست للممثل سمير صبري وعائلته,ترفيه,زائف
الفيديو مفبرك وليس لرجل ينطح ثورًا ويُسقطه على الأرض,ترفيه,زائف
الحساب مزيف ولم يتحدث ميل غيبسون عن نهاية إسرائيل,ترفيه,زائف
الصور ليست لشاحنات تنشر سُحُبًا في شوارع أوروبا لخفض درجات الحرارة,ترفيه,زائف
لا صحة لخبر إلغاء عرض فيلم باربي في السعودية,ترفيه,زائف
الفيديو مركّب وليس لنيزك يضرب البحر في ألمانيا,ترفيه,زائف
خبر أنّ ملكة جمال هولندا المتحولة جنسيًا من أصل فلسطيني مفبرك,ترفيه,زائف
